Script,src/sh/countRTrna.sh
branch,master
hash,647430cd376a3e29f61e3b59515588c2bcb12b31
date,2015-08-18
faidx version,0.4.2
wgsim version,Version: 0.3.0
bedtools version,bedtools v2.23.0
tophat2 version,TopHat v2.0.13
bowtie2-build version,bowtie2-build version 2.2.3
samtools version,samtools 1.2
